360 	1872 	 72 	1620 	 36 	2088 	1080 	864 	 36 	1116 	1404 	 36 	1116 	 36 	 36 	 72 	612 	 72 	576 	612 	2088 	612 	108 	324 	864 	 72 	3096 	1116 	 36 	324 	324 	576 	1872 	 72 	864 	576 	 72 	1584 	1404 	2880 	 72 	324 	612 	 72 	1116 	 72 	612 	360 	612 	864 	612 	 72 	1116 	1080 	 36 	1620 	 72 	2880 	108 	1368 	1332 	576 	1116 	2160 	
 72 	 36 	 36 	 72 	 72 	 72 	 72 	 36 	 36 	 72 	 72 	 72 	 72 	 72 	 72 	 36 	 72 	 72 	 72 	 72 	 36 	 36 	 72 	 72 	 72 	 72 	 36 	 36 	 72 	 36 	 72 	 72 	 72 	 72 	 72 	 72 	 72 	 36 	 72 	 36 	 36 	 72 	 72 	 72 	 36 	 36 	 36 	 36 	 36 	 36 	 72 	 36 	 72 	 72 	 36 	 72 	 72 	 72 	 36 	 36 	 36 	108 	 36 	 72 	
 72 	 72 	 72 	 72 	 36 	 72 	 36 	 36 	 72 	108 	 72 	 72 	 36 	 36 	 36 	 72 	 72 	 36 	 36 	 72 	 36 	 72 	108 	 72 	 72 	 72 	 36 	 72 	 36 	 72 	 72 	 36 	 72 	 72 	 72 	 72 	 72 	 72 	 36 	 72 	 36 	 72 	 72 	 36 	 72 	 72 	 72 	 72 	 72 	 36 	 72 	 36 	 36 	 36 	 72 	 36 	 36 	 72 	 72 	 36 	 72 	 72 	 72 	 72 	
 36 	 72 	 72 	 72 	 36 	 36 	 36 	 36 	 72 	 72 	 72 	 36 	 72 	 36 	 36 	 72 	 36 	 72 	 36 	 72 	 72 	 72 	 36 	 72 	 72 	 72 	 36 	 72 	 36 	 36 	 36 	 36 	 72 	 72 	 72 	 72 	 36 	 36 	 72 	 72 	 36 	 36 	 72 	 72 	 72 	 36 	 72 	 72 	 36 	 72 	 72 	 72 	 72 	 36 	 36 	 72 	 36 	 72 	 72 	 36 	 36 	 36 	 72 	 36 	
 72 	 36 	 72 	 36 	 72 	 72 	 72 	 36 	 36 	 36 	 72 	 72 	 36 	 72 	 72 	 36 	 72 	 36 	 72 	 72 	 72 	 36 	 72 	 72 	 72 	 72 	 72 	 72 	 72 	 72 	 72 	 72 	 36 	 36 	 72 	 72 	 72 	 72 	 36 	 72 	 72 	 72 	 72 	 72 	 36 	 72 	 72 	 36 	 72 	 36 	 72 	 36 	 36 	 72 	 72 	 36 	 72 	 36 	 36 	 72 	 72 	 72 	 36 	 72 	
 36 	 72 	 72 	 72 	 36 	 36 	 36 	 36 	 72 	 72 	 72 	 36 	 72 	 36 	 36 	 72 	 36 	 72 	 36 	 36 	 72 	 72 	 36 	 72 	 72 	 72 	 36 	 72 	 36 	 36 	 36 	 72 	 36 	 72 	 72 	 36 	 36 	 36 	 72 	 72 	 72 	 72 	 72 	 72 	 72 	 36 	 72 	 72 	 36 	 72 	 36 	 72 	 72 	 36 	 36 	 72 	 36 	 72 	 72 	 36 	 72 	 36 	 72 	 36 	
 72 	 36 	 72 	 36 	 72 	 72 	 72 	 36 	 36 	 36 	 36 	 72 	 36 	 72 	 72 	 36 	 72 	 72 	 72 	 72 	 72 	 72 	 72 	 72 	 72 	 72 	 72 	 72 	 72 	 72 	 72 	 72 	 36 	 72 	 36 	 72 	 72 	 72 	 72 	 36 	 72 	 72 	 72 	 36 	 36 	 72 	 36 	 36 	 72 	 72 	 36 	 36 	 36 	 36 	 72 	 72 	 72 	 36 	 36 	 72 	 72 	 72 	 72 	 72 	
 36 	 72 	 36 	 72 	 72 	 36 	 36 	 36 	 36 	 72 	 72 	 36 	 72 	 72 	 36 	 72 	 72 	 36 	 72 	 72 	 36 	 36 	 36 	 36 	 72 	 72 	 36 	 72 	 72 	 72 	 36 	 72 	 72 	 72 	 72 	 72 	 36 	 36 	 72 	 36 	 36 	 36 	 72 	 72 	 72 	 72 	 36 	 36 	 72 	 72 	 72 	 72 	 72 	 72 	 72 	 72 	 72 	 72 	 36 	 36 	 36 	 72 	 36 	 36 	
 72 	 72 	 36 	 36 	 72 	 72 	 36 	 72 	 36 	 72 	 36 	 72 	 72 	 72 	 72 	 36 	 72 	 72 	 72 	 36 	 36 	 36 	 72 	 36 	 36 	 36 	 36 	 36 	 72 	 72 	 72 	 72 	 72 	 36 	 36 	 72 	 36 	 72 	 72 	 36 	 36 	 36 	 36 	 72 	 72 	 72 	 36 	 36 	 72 	 72 	 72 	 36 	 36 	 72 	 72 	 72 	 72 	 72 	 72 	 72 	 36 	 72 	 72 	 72 	
 36 	 72 	 72 	 72 	 36 	 36 	 72 	 36 	 36 	 36 	 72 	 36 	 36 	 36 	 36 	 36 	 36 	 36 	 36 	 72 	 72 	 36 	 36 	 36 	 72 	 72 	 72 	 72 	 36 	 36 	 72 	 72 	 72 	 72 	 72 	 72 	 72 	 36 	 36 	 72 	 36 	 36 	 72 	 72 	 72 	 72 	 72 	 72 	 72 	 36 	 72 	 36 	 36 	 72 	 72 	 36 	 36 	 36 	 36 	 36 	 72 	 36 	 36 	 72 	
